Date,Year,Format,Opponent,OpponentTeam,Venue,Runs,Balls,StrikeRate,Fours,Sixes,Is50,Is100,Format_TotalMatches,Format_TotalInnings,Format_CareerRuns,Format_CareerCenturies,Format_CareerHalfCenturies,Format_CareerHighestScore,Format_CareerAverage,Format_CareerStrikeRate,Format_Status
2013-01-01,2013,Test,West Indies,,Dubai,7,12,58.33,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-02-09,2013,Test,Australia,,London,10,17,58.82,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-03-20,2013,Test,Australia,,Dubai,22,38,57.89,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-04-28,2013,Test,Australia,,Cape Town,151,266,56.77,13,2,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-06-06,2013,Test,Zimbabwe,,Dubai,8,14,57.14,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-07-16,2013,Test,Australia,,Dubai,22,38,57.89,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-08-24,2013,Test,Bangladesh,,Delhi,1,1,100.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-10-02,2013,Test,Zimbabwe,,Kolkata,8,14,57.14,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-11-10,2013,Test,Bangladesh,,Kolkata,21,37,56.76,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2013-12-20,2013,Test,Bangladesh,,Cape Town,20,35,57.14,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-01-28,2014,Test,Bangladesh,,Kolkata,3,5,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-03-08,2014,Test,West Indies,,Bengaluru,204,360,56.67,20,4,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
